CaseID,Dice,HD95,Timestamp
amos_0008,0.6694,15.73,2025-04-27 10:58:38
amos_0013,0.6908,30.53,2025-04-27 10:58:39
amos_0018,0.7314,26.57,2025-04-27 10:58:39
amos_0022,0.7326,18.96,2025-04-27 10:58:40
amos_0029,0.7052,13.49,2025-04-27 10:58:40
amos_0032,0.7449,15.78,2025-04-27 10:58:41
amos_0034,0.6095,22.36,2025-04-27 10:58:42
amos_0040,0.6927,17.46,2025-04-27 10:58:42
amos_0041,0.7097,32.0,2025-04-27 10:58:43
amos_0051,0.767,13.67,2025-04-27 10:58:43
amos_0056,0.5994,33.0,2025-04-27 10:58:44
amos_0061,0.6641,30.82,2025-04-27 10:58:44
amos_0063,0.6465,35.14,2025-04-27 10:58:45
amos_0070,0.7306,10.49,2025-04-27 10:58:45
amos_0073,0.7397,21.0,2025-04-27 10:58:46
amos_0085,0.5222,20.27,2025-04-27 10:58:46
amos_0087,0.6868,22.02,2025-04-27 10:58:47
amos_0090,0.7582,15.84,2025-04-27 10:58:47
amos_0106,0.5519,18.36,2025-04-27 10:58:48
amos_0108,0.7684,25.02,2025-04-27 10:58:48
amos_0112,0.661,27.0,2025-04-27 10:58:49
amos_0117,0.7279,10.2,2025-04-27 10:58:50
amos_0120,0.6735,24.21,2025-04-27 10:58:50
amos_0123,0.6871,17.92,2025-04-27 10:58:51
amos_0128,0.658,15.17,2025-04-27 10:58:51
amos_0132,0.6004,23.66,2025-04-27 10:58:52
amos_0136,0.6741,18.14,2025-04-27 10:58:52
amos_0140,0.7384,28.11,2025-04-27 10:58:53
amos_0144,0.6973,16.31,2025-04-27 10:58:53
amos_0150,0.649,29.39,2025-04-27 10:58:54
amos_0155,0.7426,11.45,2025-04-27 10:58:54
amos_0157,0.699,36.89,2025-04-27 10:58:55
amos_0167,0.8478,11.0,2025-04-27 10:58:55
amos_0174,0.6875,13.34,2025-04-27 10:58:56
amos_0176,0.6251,29.18,2025-04-27 10:58:57
amos_0189,0.765,31.42,2025-04-27 10:58:57
amos_0191,0.6146,13.45,2025-04-27 10:58:58
amos_0194,0.7589,29.33,2025-04-27 10:58:58
amos_0200,0.7005,19.0,2025-04-27 10:58:59
amos_0202,0.7489,33.14,2025-04-27 10:58:59
amos_0203,0.54,35.4,2025-04-27 10:59:00
amos_0204,0.6705,22.89,2025-04-27 10:59:00
amos_0206,0.6916,23.09,2025-04-27 10:59:01
amos_0207,0.7317,32.25,2025-04-27 10:59:01
amos_0208,0.3753,27.66,2025-04-27 10:59:02
amos_0216,0.6751,25.88,2025-04-27 10:59:03
amos_0218,0.6826,21.24,2025-04-27 10:59:03
amos_0219,0.6894,39.26,2025-04-27 10:59:04
amos_0223,0.6798,35.75,2025-04-27 10:59:04
amos_0228,0.6763,16.76,2025-04-27 10:59:05
amos_0233,0.739,13.88,2025-04-27 10:59:05
amos_0238,0.7081,15.3,2025-04-27 10:59:06
amos_0244,0.7285,19.95,2025-04-27 10:59:06
amos_0247,0.7433,20.81,2025-04-27 10:59:07
amos_0250,0.6596,20.15,2025-04-27 10:59:07
amos_0255,0.7317,18.71,2025-04-27 10:59:08
amos_0257,0.5835,29.15,2025-04-27 10:59:09
amos_0258,0.6612,13.75,2025-04-27 10:59:09
amos_0278,0.7129,14.14,2025-04-27 10:59:10
amos_0280,0.6714,28.79,2025-04-27 10:59:10
amos_0283,0.7596,22.31,2025-04-27 10:59:11
amos_0284,0.7113,33.0,2025-04-27 10:59:11
amos_0286,0.7446,24.54,2025-04-27 10:59:12
amos_0287,0.7115,20.62,2025-04-27 10:59:12
amos_0289,0.7249,28.72,2025-04-27 10:59:13
amos_0290,0.6436,36.99,2025-04-27 10:59:14
amos_0292,0.6416,21.66,2025-04-27 10:59:14
amos_0293,0.4334,21.75,2025-04-27 10:59:15
amos_0304,0.6199,35.47,2025-04-27 10:59:15
amos_0308,0.681,34.38,2025-04-27 10:59:16
amos_0309,0.6459,18.67,2025-04-27 10:59:16
amos_0310,0.6318,19.46,2025-04-27 10:59:17
amos_0311,0.7099,32.34,2025-04-27 10:59:17
amos_0313,0.7367,16.31,2025-04-27 10:59:18
amos_0316,0.7108,14.87,2025-04-27 10:59:18
amos_0318,0.7455,26.33,2025-04-27 10:59:19
amos_0323,0.6618,18.14,2025-04-27 10:59:20
amos_0325,0.7133,19.34,2025-04-27 10:59:20
amos_0326,0.5393,30.15,2025-04-27 10:59:21
amos_0328,0.7038,20.1,2025-04-27 10:59:21
amos_0333,0.7066,16.28,2025-04-27 10:59:22
amos_0334,0.6524,23.6,2025-04-27 10:59:22
amos_0339,0.6467,32.56,2025-04-27 10:59:23
amos_0342,0.5415,19.26,2025-04-27 10:59:23
amos_0344,0.7414,19.1,2025-04-27 10:59:24
amos_0346,0.6646,22.07,2025-04-27 10:59:25
amos_0352,0.7367,24.56,2025-04-27 10:59:25
amos_0356,0.5476,29.56,2025-04-27 10:59:26
amos_0357,0.6426,27.22,2025-04-27 10:59:26
amos_0363,0.7149,16.03,2025-04-27 10:59:27
amos_0364,0.7483,15.0,2025-04-27 10:59:27
amos_0365,0.7533,30.85,2025-04-27 10:59:28
amos_0368,0.5414,38.07,2025-04-27 10:59:28
amos_0372,0.7545,24.55,2025-04-27 10:59:29
amos_0373,0.5368,28.54,2025-04-27 10:59:29
amos_0377,0.7143,37.54,2025-04-27 10:59:30
amos_0385,0.699,38.52,2025-04-27 10:59:30
amos_0397,0.7087,35.24,2025-04-27 10:59:31
amos_0399,0.7908,27.15,2025-04-27 10:59:32
amos_0409,0.6477,27.51,2025-04-27 10:59:32
amos_0544,0.7399,11.18,2025-04-27 10:59:33
amos_0545,0.6954,13.45,2025-04-27 10:59:33
amos_0546,0.8001,17.55,2025-04-27 10:59:34
amos_0547,0.6264,15.43,2025-04-27 10:59:34
amos_0549,0.6668,12.41,2025-04-27 10:59:35
amos_0550,0.6851,16.28,2025-04-27 10:59:35
amos_0552,0.7802,15.3,2025-04-27 10:59:36
amos_0553,0.7478,11.09,2025-04-27 10:59:36
amos_0556,0.7664,13.45,2025-04-27 10:59:37
amos_0559,0.7473,11.05,2025-04-27 10:59:37
amos_0561,0.6948,12.73,2025-04-27 10:59:38
amos_0562,0.6647,18.06,2025-04-27 10:59:39
amos_0563,0.7719,13.93,2025-04-27 10:59:39
amos_0568,0.7678,10.63,2025-04-27 10:59:40
amos_0572,0.7787,12.21,2025-04-27 10:59:40
amos_0573,0.6598,10.0,2025-04-27 10:59:41
amos_0575,0.7715,12.0,2025-04-27 10:59:41
amos_0576,0.7765,11.05,2025-04-27 10:59:42
amos_0581,0.7855,13.6,2025-04-27 10:59:42
amos_0598,0.6878,14.28,2025-04-27 10:59:43
